KEY,VALUE
"2er Set GEWO Table Gewomatic SC 25 + 2 Nets blue","<br /><br />Pozor: Tento produkt bude doručen pomocí přepravní služby. Jsou zde dodatečné náklady na dopravu!<br><br /><br />Pozor: Tento produkt bude doručen pomocí přepravní služby. Jsou zde dodatečné náklady na dopravu!<br><hr><h2 style=""padding-top:20px;"">Stůl <strong>GEWO Gewomatic SC 25</strong> je vysoce kvalitní stůl na stolní tenis extra třídy. Stůl na světové úrovni pro hráče na světové úrovni.</h2><p style=""padding-top:20px;""><strong>Gewomatic SC 25</strong> odpovídá třídě A evropské normy 14468-1. Tento model také splňuje kritéria schválení ITTF. Trvanlivý, kompaktní, stabilní a robustní. Konkurenční s 25mm silným vysoce výkonným povrchem. Prvotřídní herní vlastnosti a kompaktní rozměry pro uložení 1 520 x 1 600 x 560 mm (D-Š-V). 100% předmontáž ve výrobě. Stačí jen odstranit obal a okamžitě začít hrát. Schváleno pro provoz ITTF a DTTB. 3 roky záruka GEWO.</p><div><h3>Specifikace modelu</h3><ul><li>Stůl na stolní tenis do vnitřního prostoru</li><li>Není odolný proti povětrnostním vlivům</li><li>Vhodný pouze pro suché místnosti uvnitř budov</li><li>Není odolný proti teplu, chladu, přímému slunečnímu záření a vlhkosti (relativní vlhkost vyšší než 60%)</li><li>Evropská norma: EN-Norm 14468-1</li></ul><h3>Herní deska / profil rámu</h3><ul><li>Dřevotříska 25 mm</li><li>Barva: zelená/modrá</li><li>Vícevrstvé povrstvení</li><li>Profil rámu A-60 mm, práškově lakovaný</li></ul><h3>Podvozek</h3><ul><li>Super-kompaktní (typ 5)</li><li>Profil obdélníkové trubky 60 x 40 mm, práškově lakovaný</li><li>4 kola (průměr 125 mm) s gumovým běhounem, všechna kola jsou manévrovatelná</li><li>Vyrovnání různých poloh a nerovností až do 30 mm pomocí nastavení výšky na vnějších nohách</li><li>Dva plynové pružiny pro neutralizaci hmotnosti desek při rozkládání a skládání stolu</li><li>Při uložení stolu do skladovací polohy lze několik stolů umístit do sebe</li><li>Stůl na stolní tenis je připraven k montáži</li></ul><h3>Uzamykací systém</h3><ul><li>Rukojeťový systém s kovovou rukojetí pod deskou odemyká obě bezpečnostní zařízení současně</li><li>Jednoduchý a automatický klik-mechanismus ve skladovací a hrací poloze stolu</li></ul><h3>Rozměry</h3><ul><li>Hrací poloha: d=274 cm x š=152,5 cm x v=76 cm (v souladu s mezinárodními rozměry)</li><li>Skladovací poloha: d=152,5 cm x š=55 cm x v=162 cm</li></ul><h3>Doplněk</h3><ul><li>Kvalita herní desky: soutěžní</li><li>Barva profilu rámu: černá (RAL 9011)</li><li>Barva podvozku: černá (RAL 9011)</li><li>Doplněk: bez</li><li>Příslušenství: bez</li></ul><h3>Hmotnost</h3><ul><li>Hrubá hmotnost: 134 kg</li><li>Čistá hmotnost: 108 kg</li></ul><h3>Net World Cup</h3><ul><li>Svorky chráněné plstěnými podložkami.</li><li>Černá síť s vyměnitelným kovovým adaptérem.</li><li>Jednoduchá a rychlá manipulace.</li></ul><p><strong>Schváleno ITTF.</strong></p><p><strong>Síť:</strong> černá.</p></div>"
"2er Set GEWO Table Gewomatic SC 25 + 2 Nets green","<hr><h2 style=""padding-top:20px;""><strong>GEWO stůl Gewomatic SC 25</strong> je vysoce kvalitní stolní tenis extra třídy. Stolní tenis světové třídy pro hráče světové třídy.</h2><p style=""padding-top:20px;""><strong>Gewomatic SC 25</strong> odpovídá třídě A evropské normy 14468-1. Tento model také splňuje kritéria schválení ITTF. Odolný, kompaktní, stabilní a robustní. Konkurenční s 25mm silnou vysoce výkonnou povrchovou úpravou. Prvotřídní herní vlastnosti a kompaktní rozměry pro uložení 1 520 x 1 600 x 560 mm (D-Š-V). 100% předmontáž ve výrobním závodě. Stačí odstranit obal a okamžitě začít hrát. Schváleno pro provoz ITTF a DTTB. 3 roky záruka GEWO</p><div><h3>Specifikace modelu</h3><ul><li>Vnitřní stolní tenisový stůl</li><li>Není odolný proti povětrnostním vlivům</li><li>Pouze vhodný pro suché místnosti v budovách</li><li>Není odolný proti teplu, chladu, přímému slunečnímu záření a vlhkosti (relativní vlhkost vyšší než 60%)</li><li>Evropská norma: EN-Norm 14468-1</li></ul><h3>Stolní deska/rámový profil</h3><ul><li>Dřevotříska 25 mm</li><li>Barva: zelená/modrá</li><li>Vícevrstvá povrchová úprava</li><li>Rámový profil A-60 mm, práškově lakovaný</li></ul><h3>Podvozek</h3><ul><li>Super-kompaktní (typ 5)</li><li>Obdélníkový trubkový profil 60 x 40 mm, práškově lakovaný</li><li>4 kola (průměr 125 mm) s gumovým běhounem, všechna kola jsou manévrovatelná</li><li>Vyrovnání různých poloh a nerovností až do 30 mm pomocí výškového nastavení na vnějších nohách</li><li>Dva plynové tlakové pružiny pro vyvážení hmotnosti desek při skládání a rozkládání stolu</li><li>Při umístění stolu do skladovací polohy lze několik stolů vložit do sebe</li><li>Stolní tenisový stůl je připraven k použití</li></ul><h3>Uzamykací systém</h3><ul><li>Rukojeťový systém s kovovou rukojetí pod stolní deskou odemyká obě bezpečnostní zařízení současně</li><li>Jednoduchý a automatický klikací mechanismus ve skladovací a hrací poloze stolu</li></ul><h3>Rozměry</h3><ul><li>Hrací pozice: d=274 cm x š=152,5 cm x v=76 cm (v souladu s mezinárodními rozměry)</li><li>Skladovací pozice: d=152,5 cm x š=55 cm x v=162 cm</li></ul><h3>Doplněk</h3><ul><li>Kvalita stolní desky: soutěžní</li><li>Barva rámového profilu: černá (RAL 9011)</li><li>Barva podvozku: černá (RAL 9011)</li><li>Doplněk: bez</li><li>Příslušenství: bez</li></ul><h3>Hmotnost</h3><ul><li>Hrubá hmotnost: 134 kg</li><li>Čistá hmotnost: 108 kg</li></ul><h3>Net World Cup</h3><ul><li>Svorky chráněné plstěnými podložkami.</li><li>Černá síťka s vyměnitelným kovovým adaptérem.</li><li>Snadná a rychlá manipulace.</li></ul><p><strong>Schváleno ITTF.</strong></p><p><strong>Síťka:</strong> černá.</p></div>"
"2er Set GEWO Tisch Europa 25 + 2 Netze   grün","<br /><br />Pozor: Tento produkt bude doručen prostřednictvím přepravní společnosti. Budou účtovány dodatečné náklady na dopravu!<br><br /><br />Pozor: Tento produkt bude doručen prostřednictvím přepravní společnosti. Budou účtovány dodatečné náklady na dopravu!<br><hr><h2 style=""padding-top:20px;""><strong>GEWO Table Europa 25</strong> je špičkový soutěžní stůl pro použití na národních a mezinárodních turnajích a soutěžích. </h2><p style=""padding-top:20px;"">Pevný stůl pro použití v klubech. Stůl na stolní tenis splňuje třídu A evropské normy 14468-1. Mikrotvrdá deska o tloušťce 25 mm zajišťuje optimální a rychlé herní vlastnosti. Hrací plocha je předem ošetřena v několika základních fázích a nakonec je na ni nanesen speciální lak, který se nanáší litím. Tento speciální lak zaručuje vysoký koeficient třecí síly s velmi nízkým leskem. Hrací čáry jsou naneseny sítotiskem, jsou velmi tenké a nepostřehnutelné, díky čemuž mají stejnou herní vlastnost jako hrací povrchy. Stůl má nožní rám s praktickým skládacím mechanismem, který zjednodušuje postavení a demontáž. Má také dva velké transportní válce na každé polovině stolu pro snadný vertikální transport.</p><div><h3>Specifikace modelu</h3><ul><li>Vnitřní stůl na stolní tenis</li><li>Není odolný vůči povětrnostním vlivům</li><li>Vhodné pouze pro suché místnosti uvnitř budov</li><li>Není odolný vůči teplu, chladu, přímému slunečnímu záření a vlhkosti (relativní vlhkost vyšší než 60%)</li><li>Evropská norma: EN-Norm 14468-1</li></ul><h3>Vrchní deska/Rámový profil</h3><ul><li>Dřevotříska 25 mm</li><li>Barva: Zelená/Modrá</li><li>Vícevrstvý povlak</li><li>Rámový profil A-60 mm, práškově lakovaný</li></ul><h3>Podvozek</h3><ul><li>Standard (typ 2)</li><li>Obdélníkový profil trubky 60 x 40 mm, práškově lakovaný</li><li>2 kola (průměr 128 mm) s gumovým běhounem na každou desku pro vertikální transport</li><li>Možnost úsporného uskladnění</li><li>Zvýšená stabilita v herní pozici díky konektoru desky</li></ul><h3>Uzamykací systém</h3><ul><li>Systém spon pro zajištění stojných nohou ve skladovací a herní pozici</li></ul><h3>Rozměry</h3><ul><li>Herní pozice: D=274 cm x Š=152,5 cm x V=76 cm (v souladu s mezinárodními rozměry)</li><li>Skladovací pozice: D=152,5 cm x Š=16,5 cm x V=142 cm</li></ul><h3>Příslušenství</h3><ul><li>Kvalita vrchní desky: Soutěžní</li><li>Barva rámového profilu: Černá (RAL 9011)</li><li>Barva podvozku: Černá (RAL 9011)</li><li>Příslušenství: Včetně montážního návodu</li><li>Doplněk: Bez</li></ul><h3>Hmotnost</h3><ul><li>Hrubá hmotnost: 112,5 kg</li><li>Čistá hmotnost: 101,5 kg</li></ul><h3>Net World Cup</h3><ul><li>Upínací systémy chráněné plstěnými podložkami.</li><li>Černá síťka s vyměnitelným kovovým adaptérem.</li><li>Snadná a rychlá manipulace.</li></ul><p><strong>Schváleno ITTF.</strong></p><p><strong>Síťka:</strong> černá.</p></div>"
"2er Set GEWO Tisch Gewomatic SC 25 + 2 Netze blau","<br /><br />Pozor: Tento produkt bude doručen prostřednictvím přepravní služby. Jsou zde dodatečné náklady na dopravu!<br><br /><br />Pozor: Tento produkt bude doručen prostřednictvím přepravní služby. Jsou zde dodatečné náklady na dopravu!<br><hr><h2 style=""padding-top:20px;"">Stůl <strong>GEWO Gewomatic SC 25</strong> je vysoce kvalitní stolní tenis extra třídy. Světový stolní tenis pro světové hráče.</h2><p style=""padding-top:20px;"">Model <strong>Gewomatic SC 25</strong> odpovídá třídě A evropské normy 14468-1. Tento model také splňuje kritéria schválení ITTF. Odolný, kompaktní, stabilní a robustní. Konkurenční výhodou je 25mm silný vysoko výkonnostní povrch. Prvotřídní herní vlastnosti a kompaktní rozměry pro uskladnění 1,520 x 1,600 x 560 mm (D-Š-V). 100% předmontáž v továrně. Jen odstranit balení a okamžitě začít hrát. Schváleno pro provoz ITTF a DTTB. 3 roky záruka GEWO.</p><div><h3>Specifikace modelu</h3><ul><li>Vnitřní stůl na stolní tenis</li><li>Není odolný vůči povětrnostním vlivům</li><li>Pouze vhodné pro suché místnosti uvnitř budov</li><li>Není odolný vůči teplu, chladu, přímému slunečnímu záření a vlhkosti (relativní vlhkost vyšší než 60%)</li><li>Evropská norma: EN-Norm 14468-1</li></ul><h3>Stolová deska/rámový profil</h3><ul><li>Dřevotříska 25 mm</li><li>Barva: zelená/modrá</li><li>Vícevrstvé provedení</li><li>Rámový profil A-60 mm, práškově lakovaný</li></ul><h3>Podvozek</h3><ul><li>Super-kompaktní (typ 5)</li><li>Obdélníkový profil trubky 60 x 40 mm, práškově lakovaný</li><li>4 kola (průměr 125 mm) s gumovým povrchem, všechna kola jsou ovladatelná</li><li>Vyvážení různých poloh a nerovností až do 30 mm pomocí výškového nastavení na vnějších nohách</li><li>Dva plynové vzpěry pro neutralizaci hmotnosti desek při sklápění a rozkládání stolu</li><li>Při umístění stolu do skladovací polohy lze několik stolů umístit do sebe</li><li>Stůl na stolní tenis je připraven k použití</li></ul><h3>Uzamykací systém</h3><ul><li>Rukojeťový systém s kovovou rukojetí pod stolní deskou odemyká obě bezpečnostní zařízení současně</li><li>Jednoduchý a automatický klik-mechanismus v úložné a hrací poloze stolu</li></ul><h3>Rozměry</h3><ul><li>Hrací poloha: d=274 cm x š=152,5 cm x v=76 cm (v souladu s mezinárodními rozměry)</li><li>Úložná poloha: d=152,5 cm x š=55 cm x v=162 cm</li></ul><h3>Přídavné vybavení</h3><ul><li>Kvalita stolní desky: soutěžní</li><li>Barva rámového profilu: černá (RAL 9011)</li><li>Barva podvozku: černá (RAL 9011)</li><li>Přídavné vybavení: bez</li><li>Příslušenství: bez</li></ul><h3>Hmotnost</h3><ul><li>Hrubá hmotnost: 134 kg</li><li>Čistá hmotnost: 108 kg</li></ul><h3>Síťový systém World Cup</h3><ul><li>Svorky chráněné plstí.</li><li>Černá síťka s vyměnitelným kovovým adaptérem.</li><li>Snadná a rychlá manipulace.</li></ul><p><strong>Schváleno ITTF.</strong></p><p><strong>Síťka:</strong> černá.</p></div>"
"3er Set GEWO Headband","<p style=""padding-top:20px;"">Módní čelenka vyrobená z prodyšného mikrovlákna.</p><p style=""padding-top:20px;"">Módní čelenka vyrobená z prodyšného mikrovlákna. Vlhkost je rychle odváděna a zajišťuje pohodlný pocit během hry.</p><p>Sada se 3 barvami</p>"
"4er Set GEWO Klebefolie Hydro Tec Duo","<p style=""padding-top:20px;"">Oblíbená lepící fólie je nyní k dispozici v praktickém balení 4x! Lepící set GEWO Hydro Tec Duo se skládá ze dvou samolepících fólií: dokonalé nalepení, žádný čas schnutí, dokonalá péče o vaše dřevo a potahy, a především žádné zbytky lepicí hmoty po odlepení. Neobsahuje žádné VOC, v souladu se směrnicemi ITTF.</p><p style=""padding-top:20px;"">Oblíbená lepící fólie je nyní k dispozici v praktickém balení 4x! Lepící set GEWO Hydro Tec Duo se skládá ze dvou samolepících fólií: dokonalé nalepení, žádný čas schnutí, dokonalá péče o vaše dřevo a potahy, a především žádné zbytky lepicí hmoty po odlepení. Neobsahuje žádné VOC, v souladu se směrnicemi ITTF.</p></div>"
"4er Set GEWO Klebefolie HydroTec Duo","<p style=""""padding-top:20px;"""">Oblíbená lepící fólie je nyní k dispozici v praktickém balení 4x! Lepící set GEWO Hydro Tec Duo se skládá ze dvou samolepících fólií: dokonalé nalepení, žádný čas schnutí, dokonalá péče o vaše dřevo a potahy, a především žádné zbytky lepicí hmoty po odlepení. Neobsahuje žádné VOC, v souladu se směrnicemi ITTF.</p><p style=""""padding-top:20px;"""">Oblíbená lepící fólie je nyní k dispozici v praktickém balení 4x! Lepící set GEWO Hydro Tec Duo se skládá ze dvou samolepících fólií: dokonalé nalepení, žádný čas schnutí, dokonalá péče o vaše dřevo a potahy, a především žádné zbytky lepicí hmoty po odlepení. Neobsahuje žádné VOC, v souladu se směrnicemi ITTF.</p></div>"
"Batoh GEWO Athletic","<p style=""padding-top:10px;"">Uložit všechny vaše potřeby na stolní tenis stylově s GEWO Athletic Black Backpack, nyní dostupným v našem online obchodě se stolním tenisem.</p><p style=""padding-top:10px;"">Uložit všechny vaše potřeby na stolní tenis stylově s GEWO Athletic Black Backpack, nyní dostupným v našem online obchodě se stolním tenisem.</p><p style=""padding-top:5px;"">Tento všestranný a funkční batoh je navržen tak, aby všechny vaše vybavení byly organizované, bezpečné a snadno přístupné na cestách. Vysoce kvalitní černý materiál je nejen odolný, ale i stylový, a nastavitelné popruhy a pohodlné držadlo umožňují snadné nošení. S dostatkem úložného prostoru a několika přihrádkami můžete snadno uložit všechny své potřeby na stolní tenis a další nezbytnosti.</p><p style=""padding-top:5px;""> Vylepšete svůj styl přenášení s GEWO Athletic Black Backpack již dnes!</p><ul style=""padding-top:5px;""><li>Rozměry: 29 x 48 x 16 cm</li><li>Boční přihrádky: 3</li><li>Přihrádka na notebook: ano</li></ul></div>"
"Batoh GEWO Nexxus","<p style=""padding-top:20px;"">Noste své vybavení na stolní tenis stylově s batohem GEWO Rucksack Nexxus. Tento elegantní tmavě modrý batoh nabízí dostatek prostoru pro všechny vaše nezbytnosti, ať už míříte na trénink nebo na soutěž. Odolný materiál a pevné zipy zajišťují, že vaše vybavení bude chráněno a zabezpečeno. Vylepšete své vybavení ještě dnes a objednejte si batoh GEWO Rucksack Nexxus z našeho online obchodu se stolním tenisem.</p><p style=""padding-top:20px;"">Noste své vybavení na stolní tenis stylově s batohem GEWO Rucksack Nexxus. Tento elegantní tmavě modrý batoh nabízí dostatek prostoru pro všechny vaše nezbytnosti, ať už míříte na trénink nebo na soutěž. Odolný materiál a pevné zipy zajišťují, že vaše vybavení bude chráněno a zabezpečeno. Vylepšete své vybavení ještě dnes a objednejte si batoh GEWO Rucksack Nexxus z našeho online obchodu se stolním tenisem.</p><p><ul><li>Rozměry: 29 x 47 x 15,5 cm</li><li>Přední kapsa: ano</li><li>Přihrádka na notebook: ano</li></ul></p></div>"
"Batoh GEWO Spy","<p style=""padding-top:5px;"">Nová <strong>GEWO Spy Bag série</strong> je ultimátní volbou pro hráče stolního tenisu, kteří si cení stylu, funkčnosti a odolnosti. Každý detail byl pečlivě promyšlen a splňuje současné potřeby oddaných hráčů.</p><p style=""padding-top:5px;"">Nová <strong>GEWO Spy Bag série</strong> je ultimátní volbou pro hráče stolního tenisu, kteří si cení stylu, funkčnosti a odolnosti. Každý detail byl pečlivě promyšlen a splňuje současné potřeby oddaných hráčů.</p><p style=""padding-top:5px;""><strong>Tašky série Spy</strong> jsou vyrobeny z vysoce kvalitní tmavě šedé tkaniny, která je nadčasově střídmá, ale přesto přitažlivá. Pogumované červené logo GEWO přináší kontrast a s dovedností přidává barevný akcent. Zip z robustního černého plastu je velmi pevný, ale nenápadný a dokonale doplňuje design celé série. S <strong>taškami série Spy</strong> vám a vašemu vybavení nabízíme vysoce kvalitní, sportovní vzhled v souladu s dobou. Méně je někdy více a s <strong>touto sérií tašek Spy</strong> je to rozhodně více.</p><h2 style=""padding-top:5px;"">GEWO Batoh Spy</h2><p style=""padding-top:5px;"">Batoh Spy je nutností pro hráče, kteří si cení pohodlí a funkčnosti. S polstrovanými ramenními popruhy a zádovou částí nabízí maximální pohodlí při nošení a dostatek prostoru pro vaše vybavení. Spodní strana batohu má matný černý plastový základ pro optimální ochranu. Další kapsa na zip vepředu nabízí dostatek místa pro menší věci.</p><p style=""padding-top:5px;"">Uvnitř má batoh další oddíl, který lze uzavřít suchým zipem. Dvě další síťované kapsy uvnitř zaručují, že budete mít vždy po ruce drobné předměty v tomto elegantním, sportovním prostoru zázraků. V horní části batohu je pevná smyčka, která jej bezpečně udrží ve vaší ruce.</p><ul style=""padding-top:5px;""><li>Velikost: cca 56 x 30 x 18 cm</li></ul></div>"
