"KEY","VALUE"
"andro-Lepidlo TurboFix (2500 ml)","vodní lepidlo, TurboFix"
"andro-Maboon na 2 pálky","ochranné pouzdro, stolní tenis"
"andro-Timber 5 OFF","útočné prkno, topspinová hra"
"andro-Wanokiwami AO OFF","stolní tenis, útočná hra"
"ASICS Socke PED (3er in 3 Farben)  43-46","ponožky, tři páry"
"Dřevo Avalox Blue Thunder 550","Avalox Blue Thunder 550, Allroundholz"
"Dřevo Avalox Blue Thunder 555","Avalox Blue Thunder, stolní tenis"
"Dřevo Avalox Blue Thunder 777","rychlé dřevo, ofenzivní hráč"
"Dřevo Avalox P900","Avalox P900, útočné dřevo"
"Potah Barna Legend Classic","Barna Legend Classic, krátké nopy"
"Potah Barna Legend Fire","Krátké vroubky, Rychlý útok"
"Potah Barna Legend Half Long","středně dlouhé pipsy, rušivý efekt"
"Potah Barna Original Anti","protiskluzový povrch, kontrola effektem"
"Potah Barna Super Glanti Absorber","Barna potah, míček zpomaluje"
"Potah Barna Super Glanti Attack","Barna Super Glanti, stolní tenis"
"Potah Barna Super Glanti","protiskluzový povrch, kontrola rotace"
"Potah Barna Virus-2","virus-2, dlouhé vroubky"
"Dřevo Barna Victory","kontrola, rychlost"
"Batoh BUTTERFLY Kanoy","batoh, přihrádky"
"Batoh BUTTERFLY Kashiwa","batoh, sport"
"Batoh BUTTERFLY Kitami","batoh, prostorný"
"Batoh DONIC Traver","batoh, přihrádka"
"Batoh GEWO Nexxus","batoh, stolní tenis"
"Batoh GEWO Spy","batoh, stolní tenis"
"Batoh JOOLA VISION II","batoh, styl"
"Batoh STIGA Eco Rival","batoh, recyklovatelný"
"Potah Bomb Talent","narušování hry, tlakové údery"
"Boty BUTTERFLY Lezoline Levalis","butterfly, sportovní obuv"
"Boty BUTTERFLY Lezoline Mach 22","obuv, neklouzavá podrážka"
"Boty BUTTERFLY Lezoline Nine","boty na stolní tenis, moderní design"
"Boty BUTTERFLY Lezoline Rifones","stolní tenis, sportovní obuv"
"Boty BUTTERFLY Lezoline Unizes","tenisky, stolní tenis"
"Boty BUTTERFLY Lezoline Unizes II","lehká váha, neklouzavá podrážka"
"Boty BUTTERFLY Lezoline Vilata","Lezoline, Vilata"
"Boty BUTTERFLY Lezoline Zero","stolní tenis, sportovní obuv"
"Boty BUTTERFLY Sneaker","Sportovní tenisky, PU kůže"
"Boty BUTTERFLY Sunika","boty, pohodlí"
"Boty DHS TS 01","Boty, produkt"
"Boty DHS TS 02","boty, produkt"
"Boty DHS TS 03","boty, produkt"
"Boty DONIC Draven GSX","lehká obuv, stolní tenis"
"Boty DONIC Reflex","boty, přilnavá podrážka"
"Boty DONIC Waldner Flex III","Boty, Donic"
"Boty GEWO Gold Flex","stolní tenis, sportovní obuv"
"Boty GEWO Light Flex Blue","lehké tenisky, stolní tenis"
"Boty GEWO Smash Flex II gb","boty, přilnavost"
"Boty GEWO Smash Flex II wb","GEWO SMASH FLEX, sportovní obuv"
"Boty JOOLA COURT'20","lehkost, přilnavost"
"Boty JOOLA PRO BLAST","boty, prodyšné"
"Boty Joola Pro Junior","boty, stolní tenis"
"Bunda BUTTERFLY Higo","Bunda, elegantní"
"Bunda BUTTERFLY Mito","bunda, Stretch Terry"
"Bunda BUTTERFLY Puren","bunda, tým"
"Bunda BUTTERFLY Shiro","Bunda, Performance Micro"
"Bunda BUTTERFLY Tosy","bunda, tým"
"Bunda BUTTERFLY Větrovka Germany 18","bunda, větrovka"
"Bunda DONIC Aspen","zimní bunda, prošívaná bunda"
"Bunda DONIC Assist","Bunda, mikrovlákno"
"Bunda DONIC Capri","Bunda, Mikrovlákno"
"Bunda DONIC Craft","bunda, mikrovlákno"
"Bunda DONIC Impact","bunda, tepláková souprava"
"Bunda DONIC Paddox","mikrovlákno, kapsy"
"Bunda DONIC Slide","Bunda, dámský styl"
"Bunda DONIC Trail","Bunda, mikrovlákno"
"Bunda DONIC Trip","Bunda, mikrovlákno"
"Bunda DONIC Viper","bunda, tepláková souprava"
"Bunda GEWO Aurora","bunda, polyester"
"Bunda GEWO Azaro Pro","bunda, GEWO"
"Bunda GEWO Azaro Pro teamGEWO","bunda, GEWO"
"Bunda GEWO Penzo","bunda sportovní, college styl"
"Bunda Joola Eylon","bunda, JOOLA"
"Bunda Joola Chilax","bunda, tepláková souprava"
"Bunda Joola Chilax 22","bunda, útulná"
"Bunda JOOLA OUTGEAR","bunda, voděodolná"
"Bunda Joola Synergy","tepláková souprava, lehká tkanina"
"Bunda STIGA Member","Bunda, funkční materiál"
"Bunda STIGA Venus","bunda, pohyb"
"BUTTERFLY-Boll Repulse","stůl na stolní tenis, dřevotříska"
"BUTTERFLY-Lepící fólie Chack Sheet II","lepící fólie, oboustranná"
"BUTTERFLY-Tori (kalhoty)","kalhoty, elastický"
"Čelenka BUTTERFLY Hachimaki","Čelenka BUTTERFLY, funkční materiál"
"Čelenka DONIC","čelenka, bavlna"
"Čelenka Joola","elastická čelenka, vlhkost absorbující polyester"
"Čelenka VICTAS 519","čelenka, VICTAS"
"Čelenka VICTAS 524","čelenka, bavlna"
"Kšiltovka Joola Perseus","Čepice, lehké materiály"
"Kšiltovka Joola Scorpeus","Kšiltovka, sportovní design"
"Kšiltovka Joola Trinity","Čepice, Polyester"
"Čistící sada ANDRO L","čistící sada, čištění potahů"
"Čistící sada ANDRO S","čisticí sada, ANDRO S"
"Čistič ANDRO Combi Free 100 ml","Čistič potahů, VOC free"
"Čistič ANDRO Free 125 ml","čistič potahů, TENSOR BOND"
"Čistič ANDRO Free 250 ml","čistič potahů, technologie TENSOR BOND"
"Čistič BUTTERFLY Rubber Cleaner New","čistič potahů, Butterfly cleaner"
"Čistič DONIC Bioclean","Čistič ve spreji, Ekologický čistič"
"Čistič GEWO HydroTec 250 ml Pumpspray","čistič potahů, antistatický účinek"
"Čistič GEWO HydroTec s houbou 100 ml","čistič, stolní tenis"
"Čistič Joola Clipper Foam (pěna 100ml) set","čištění pálky, čistící pěna"
"Čistič na poťah DHS","čistič poťahů, bez VOC"
"Čistič na poťahy Donic BioClean 250 ml","Čistič potahů, péče o gumu"
"Čistič na poťahy Donic Combi Cleaner 100 ml","Čistič na potahy, Donic Combi Cleaner"
"Čistič na poťahy Joola Turbo Cleaner 250 ml","čistič poťahů, JOOLA Turbo Cleaner"
"Čistič na poťahy Yasaka 125 ml","čistič poťahov, sprej na stolný tenis"
"Čistič VICTAS Combi 100 ml","Čistič, VICTAS"
"Čistič VICTAS PRO 250 ml","Čistič, VICTAS PRO"
"Potah Dawei 388 D","Dawei potah, kontrola při obraně"
"Potah Der Materialspezialist Breakout","pupínky, útočná hra"
"Potah Der Materialspezialist Burnout","Burnout, útočná guma"
"Potah Der Materialspezialist Diabolic Special","rušivý efekt, otočení rotace"
"Potah Der Materialspezialist Elimination Extra Long","dlouhé vroubky, rušivý účinek"
"Potah Der Materialspezialist Elite Long","elastické dlouhé vroubky, pomalá tlumící houba"
"Potah Der Materialspezialist Fakir","potah na stolní tenis, dlouhé vroubky"
"Potah Der Materialspezialist Firestorm","povrch FIRESTORM, krátké pupínky"
"Potah Der Materialspezialist Firestorm Soft","guma, kontrola"
"Potah Der Materialspezialist Flashback","rušivý efekt, poloviční pupínky"
"Potah Der Materialspezialist Hardcore","tvrdý potah, maximální rotace"
"Potah Der Materialspezialist Hardcore Speed","rychlost, kontrola"
"Potah Der Materialspezialist Hellcat","potah hellcat, rušivý účinek"
"Potah Der Materialspezialist Hellracer","Hellracer, krátké pupínky"
"Potah Der Materialspezialist Kamikaze","dlouhé pupínky, katapultový efekt"
"Potah Der Materialspezialist Killing Defender","Killing Defender, obranný povrch"
"Potah Der Materialspezialist Killing Defender Soft","měkká obrana, rotace a spin"
"Potah Der Materialspezialist Outkill","rychlý útok, kontrola míčku"
"Potah Der Materialspezialist Rebellion","revoluce, dlouhé vroubky"
"Potah Der Materialspezialist Reflection","Antispin, Rušivý efekt"
"Potah Der Materialspezialist Scandal","skandál, kontrola rotace"
"Potah Der Materialspezialist Shockwave","útočný pupínek, přerušovaná střela"
"Potah Der Materialspezialist Spectre","Poťah na stolný tenis, dlouhé vroubky"
"Potah Der Materialspezialist Spinfire","rotace, ovládání"
"Potah Der Materialspezialist Spinfire Soft","rotace, kontrola"
"Potah Der Materialspezialist Superwall","dlouhé pupínky, kontrola spinu"
"Potah Der Materialspezialist Tenacious Violence","houževnaté násilí, maximální rotace"
"Potah Der Materialspezialist Turtle Twister","potažení, rotace"
"Potah Der Materialspezialist Turtle Twister Soft","poťah na stolní tenis, měkká houba"
"Potah Der Materialspezialist Wildfire","divot, kontrola"
"Dřevo Der Materialspezialist Cubixx 100","rušivá hra, kontrolní hodnoty"
"Dřevo Der Materialspezialist Deluxe Carbon","karbonové dřevo, útočný potenciál"
"Dřevo Der Materialspezialist Destroyer","ničitel, rychlá čepel"
"Dřevo Der Materialspezialist Excalibur","Excalibur stolní tenis, útočné dřevo"
"Dřevo Der Materialspezialist Invictus","hůl Invictus, fenomén kontrola"
"Dřevo Der Materialspezialist Olympea","dřevo, OLYMPEA"
"Dřevo Der Materialspezialist Protector","rychlost, kontrola"
"Dřevo Der Materialspezialist Scooper Combi","Skvělá kontrola, Ofenzivní dřevo"
"Dřevo Der Materialspezialist Terror","dřevo, blokování"
"Dřevo Der Materialspezialist Wizard Fire","Kombinované dřevo, Topsinová útočnost"
"Lepidlo Der Materialspezialist Contact Premium Plus","lepidlo na stolní tenis, profesionální lepidlo"
"Potah DHS PF4","DHS PF4 potah, ofenzivní hráč"
"Dřevo DHS Hurricane Long 5","DHS Hurricane Long 5, stolní tenis"
"Potah Donic Bluegrip J2","rotace, ofenzivní hráči"
"DONIC-Baracuda Big Slam","potah, topspin"
"DONIC-Desto F1","rychlý potah, útočný stolní tenis"
"DONIC-Desto F2","útok, střední houba"
"DONIC-Epox Topspeed","DONIC-Epox Topspeed, rychlé pálky"
"Dřevo Der Materialspezialist Blockbuster","maximální kontrola, rušivý efekt"
"Dřevo Der Materialspezialist Defensor","obranná čepel, rotační změny"
"Dřevo Der Materialspezialist Dr. Jekyll & Mr. Hyde","útočná hra, profesionální hráči"
"Dřevo Der Materialspezialist Power Control","útočné čepele, kontrola lopty"
"Dřevo Der Materialspezialist Revolution","rušivá hra, extrémne plochý odraz"
"Dřevo Der Materialspezialist The Wall","obranné dřevo, rotace míčku"
"Dřevo Der Materialspezialist Trouble","Der-materialspezialist Trouble, potíže"
"Dřevo Der Materialspezialist Wizard","čepel, kontrola"
"Dřevo DHS Hurricane Hao","pingpongová čepel, Wang Hao"
"Dřevo DHS Hurricane Hao 2","Dřevo Hurricane, Wang Hao"
"Dřevo DHS Hurricane Hao 3","uhlíková technologie, přesný odraz"
"Dřevo DHS Hurricane Long 3","Hurricane Long 3, kontrola"
"Dřevo Joola Rosskopf Allround","JOOLA Rosskopf univerzální, pingpongová pálka"
"Dřevo Nittaku Acoustic","rychlé dřevo, ofenzivní hráči"
"Dřevo Nittaku Mima Ito Carbon","Nittaku Mima Ito Carbon, stůl na stolní tenis"
"Dřevo Nittaku Nordlinger AC","Nittaku Nordlinger AC, útočné dřevo"
"Dřevo Nittaku Shake Defence","Obranářská raketa, velký sweetspot"
"Dřevo Nittaku Violin","nástroj, ofenzivní hráči"
"Dřevo Sanwei Accumulator C","stolní tenis, dřevo carbonové"
"Dřevo Sanwei Accumulator J","mladí hráči, stolní tenis"
"Dřevo Sanwei Accumulator S","Dřevěná pálka, kontrola"
"Dřevo Sanwei C&C","karbonové dřevo, všestranná ofenzivní hra"
"Dřevo Sanwei Cannon Carbon","carbonové dřevo, profesionální úroveň"
"Dřevo Sanwei Fextra Allround","útočné dřevo, všestranní hráči"
"Dřevo Sanwei Fextra One","Dřevo Sanwei Fextra One, celodřevěná konstrukce"
"Dřevo Sanwei Froster","Froster, topspinové drevo"
"Dřevo Sanwei HC Speed Light","Dřevo, Rychlost"
"Dřevo Sanwei Hynover","dřevo Sanwei Hynover, rychlé útočné dřevo"
"Dřevo Sanwei LD Light","útočné dřevo, rychlé topspiny"
"Dřevo Sanwei Multilayer 1","Sanwei Multilayer 1, útočné dřevo"
