"KEY","VALUE"
"10 x Ersatzkettchen ""Kugel""","<h2>10x Řetízek s kuličkami</h2> <ul style=""padding-top:5px;""> <li>Řetízek s kuličkami pro stolní tenisové sítě</li> <li>Průměr jedné kuličky cca 4 mm</li> <li>Délka cca 6 cm</li> </ul>"
"4er Set GEWO Klebefolie HydroTec Duo","<h2>GEWO Lepicí fólie HydroTec Duo - sada 4 kusů</h2> <p style=""padding-top:20px;"">Oblíbená lepicí fólie Duo je nyní k dispozici i v praktické sadě 4 kusů. Lepicí sada GEWO Hydro Tec Duo se skládá ze dvou samolepicích fólií: bezchybná adheze, žádná doba schnutí, dokonalá péče o dřevo a potahy a především žádné zbytky lepidla po odlepení. Bez VOC v souladu s předpisy ITTF.</p>"
"5er Set Spielblock HeTTV/ Universal, alle Systeme","<h2>Herní blok HeTTV (Také použitelný jako univerzální herní blok)</h2> <ul style=""padding-top:5px;""> <li>Oficiální formulář Hesenského stolnětenisového svazu</li> <li>Průpisový blok</li> <li>30 listů</li> <li>2členný Corbillonův pohár</li> <li>3členný mod. Swaythling Cup</li> <li>Braunschweiger systém</li> <li>4členný Bundes systém</li> <li>6členné páry</li> </ul>"
"5x Ersatzschnur","<h2>Náhradní šňůra</h2> <p style=""padding-top:10px;"">Náhradní šňůra vhodná pro všechny sítě, délka 2m</p>"
"andro - Bype","<p><span style=""font-size: 12pt;"">Bype čerpá energii z houby Tensor o tvrdosti 45 stupňů.</span><br/><span style=""font-size: 12pt;"">Jasná a přímá zpětná vazba při dopadu míčku na pálku zvyšuje důvěru ve vaše vlastní údery díky snadné manipulaci.</span><br/><span style=""font-size: 12pt;"">Vrchní guma umožňuje variabilní a nebezpečné topspiny a také širokou škálu dalších úderů.</span><br/><span style=""font-size: 12pt;"">Zvyšte svůj výkon! Bype je první volbou pro hráče s variabilním topspinem.</span></p>"
"andro - Bype SFX","<p><span style=""font-size: 12pt;"">Bype SFX čerpá energii z houby Tensor o tvrdosti 40 stupňů. Jasná a přímá zpětná vazba při dopadu míčku na pálku zvyšuje kontrolu a odolnost proti chybám.</span><br/><span style=""font-size: 12pt;"">Vrchní guma umožňuje variabilní a nebezpečné topspiny a také širokou škálu dalších úderů.</span><br/><span style=""font-size: 12pt;"">Zvyšte svůj výkon! Bype SFX je navržen pro všestrannou hru, kterou hrají hráči s touhou po pohodlí a zábavě.</span></p>"
"Andro - Hexer Grip","<p><span style=""font-size: 12pt;"">Novinka pro rok 2018 od firmy Andro. Ideální potah pro všestrannou útočnou hru zaměřenou na rotaci, kontrolu a cit</span></p> <ul> <li><span style=""font-size: 12pt;"">pomalejší varianta potahu Hexer Powergrip</span></li> <li><span style=""font-size: 12pt;"">sloučení toho nejlepšího z dvou úspěšných řad potahů Andro - Hexer a Rasant</span></li> <li><span style=""font-size: 12pt;"">zvýšená tolerance chyb díky zelené houbě s většími póry o 45 stupních</span></li> <li><span style=""font-size: 12pt;"">rotace bohatý topsheet ze 100% přírodní gumy navržený přímo pro hru s plastovým míčem</span></li> </ul>"
"Andro - Hexer Grip SFX","<p>Novinka od firmy Andro pro rok 2019. Velmi očekávaný Hexer Grip SFX.</p> <ul> <li>na spin bohatý topsheet ze 100% přírodní gumy navržený přímo pro hru s plastovým míčkem;</li> <li>maximální kontrola díky měkké high-tech houbě o 40 stupních;</li> <li>schopný odpouštět chyby - určen pro hráče, pro které cit a kontrola znamenají více než rychlost;</li> <li>vynikající volba např. i pro méně technicky zdatné hráče, kteří si netroufnou na rychlejší potah <a href=""http://www.sportspin.cz/potah-hexer-grip/"">Hexer Grip</a>, ale přesto chtějí zažít obdobný spinový potenciál tohoto potahu!</li> </ul> <ul> <li>na spin bohatý topsheet ze 100% přírodní gumy navržený přímo pro hru s plastovým míčkem;</li> <li>maximální kontrola díky měkké high-tech houbě o 40 stupních;</li> <li>schopný odpouštět chyby - určen pro hráče, pro které cit a kontrola znamenají více než rychlost;</li> <li>vynikající volba např. i pro méně technicky zdatné hráče, kteří si netroufnou na rychlejší potah Hexer Grip, ale přesto chtějí zažít obdobný spinový potenciál tohoto potahu!</li> </ul>"
"Andro - Hexer Powergrip","<p><span style=""font-size: 12pt;"">Nová útočná guma od firmy Andro pro rok 2018. Skvělá volba pro moderní topspinovou hru zaměřenou na přesnost</span></p> <ul> <li><span style=""font-size: 12pt;"">vyšší rychlost než u potahu Hexer Grip</span></li> <li><span style=""font-size: 12pt;"">spojení toho nejlepšího ze dvou úspěšných sérií potahů andro - Hexer a Rasant</span></li> <li><span style=""font-size: 12pt;"">katapult a síla v každém úderu díky zelené pórovité houbě o 47,5 stupních</span></li> <li><span style=""font-size: 12pt;"">na spin bohatý topsheet ze 100% přírodní gumy navržený přímo pro hru s plastovým míčkem</span></li> </ul>"
"Andro - Hexer Powergrip SFX","<p>Novinka pro rok 2019 od firmy Andro. Nový potah Hexer Powergrip SFX.</p> <ul> <li>topsheet bohatý na spin ze 100% přírodní gumy navržený přímo pro hru s plastovým míčem;</li> <li>vynikající kontrola díky high-tech zelené houbě o tvrdosti 42,5 stupně;</li> <li>pro hráče upřednostňující stabilitu svého úderu, zajímavé trajektorie letu míčku a kontrolu;</li> <li>vynikající volba např. i pro méně technicky zdatné hráče, kteří si netroufnou na rychlejší potah Hexer Powergrip, ale přesto chtějí zažít obdobný spinový potenciál tohoto potahu!</li> </ul> <ul> <li>topsheet bohatý na spin ze 100% přírodní gumy navržený přímo pro hru s plastovým míčem;</li> <li>vynikající kontrola díky high-tech zelené houbě o tvrdosti 42,5 stupně;</li> <li>pro hráče upřednostňující stabilitu svého úderu, zajímavé trajektorie letu míčku a kontrolu;</li> <li>vynikající volba např. i pro méně technicky zdatné hráče, kteří si netroufnou na rychlejší potah Hexer Powergrip, ale přesto chtějí zažít obdobný spinový potenciál tohoto potahu!</li> </ul>"
